,benchmark,base,greedy1_ln,greedy1_cost,policy,greedy2_ln,greedy2_cost,greedy2_policy,random_ln,bruteforce_cost,bruteforce_policy,policy_ln,policy_cost,benchmark,base,greedy1_ln,greedy1_cost,policy,greedy2_ln,greedy2_cost,greedy2_policy,random_ln,bruteforce_cost,bruteforce_policy,policy_ln,policy_cost,benchmark,base,greedy1_ln,greedy1_cost,policy,greedy2_ln,greedy2_cost,greedy2_policy,random_ln,bruteforce_cost,bruteforce_policy,policy_ln,policy_cost
0,benchmark://mm128_128_128-v0/012,17.439716339111328,17.439716339111328,17.439716339111328,17.439716339111328,16.581815719604492,16.657283782958984,16.657283782958984,19.323335647583008,19.403701782226562,19.403701782226562,19.403701782226562,19.403701782226562,benchmark://mm128_128_128-v0/012,0.027966976165771484,0.2094123363494873,0.015313863754272461,0.00471186637878418,0.7939698696136475,0.0072176456451416016,0.015088796615600586,0.0029315948486328125,0.003429412841796875,0.00623631477355957,0.004170894622802734,0.003793001174926758,benchmark://mm128_128_128-v0/012,,"['down', 'up']","['down', 'up']","['down', 'up']","['swap_down', 'up']","['swap_down', 'up']","['down', 'up']","['swap_down', 'swap_up']","['swap_down', 'swap_up']","['down', 'up']",['down'],['down']
0,benchmark://mm128_128_128-v0/021,3.0064151287078857,20.18316650390625,19.761056900024414,2.993645668029785,22.150596618652344,20.460918426513672,0.5857385396957397,22.589248657226562,22.583045959472656,3.006488561630249,3.006488561630249,3.006488561630249,benchmark://mm128_128_128-v0/021,0.1540071964263916,0.3495051860809326,0.015241384506225586,0.004853963851928711,0.7890150547027588,0.00766754150390625,0.014749765396118164,0.003142118453979492,0.003478527069091797,0.006444692611694336,0.003830432891845703,0.004174232482910156,benchmark://mm128_128_128-v0/021,,"['down', 'swap_down']","['down', 'swap_down']","['swap_down', 'swap_up']","['down', 'swap_down']","['down', 'swap_down']","['swap_down', 'swap_down']","['down', 'swap_down']","['down', 'swap_down']","['swap_down', 'swap_up']",['down'],['down']
0,benchmark://mm128_128_128-v0/102,17.134855270385742,27.558025360107422,19.3275203704834,18.708118438720703,26.339677810668945,26.918140411376953,26.93317985534668,26.91468620300293,26.932313919067383,26.919696807861328,26.93144989013672,26.92194175720215,benchmark://mm128_128_128-v0/102,0.027241945266723633,0.20233631134033203,0.014845609664916992,0.0050733089447021484,0.7838549613952637,0.0070879459381103516,0.015394210815429688,0.0034079551696777344,0.0032804012298583984,0.0061702728271484375,0.004039287567138672,0.0040416717529296875,benchmark://mm128_128_128-v0/102,,"['swap_down', 'up']","['swap_down', 'up']","['swap_down', 'up']","['swap_down', 'up']","['swap_down', 'up']","['swap_down', 'up']","['swap_down', 'up']","['swap_down', 'up']","['swap_down', 'up']",['swap_down'],['swap_down']
0,benchmark://mm128_128_128-v0/120,0.5920339226722717,16.81292724609375,2.8296473026275635,2.8185765743255615,17.23228645324707,17.24355125427246,0.5777443051338196,17.234764099121094,17.240219116210938,2.828847646713257,2.828847646713257,0.5859671831130981,benchmark://mm128_128_128-v0/120,0.7753794193267822,1.613426923751831,0.016454458236694336,0.005410432815551758,0.17641425132751465,0.007478952407836914,0.014674663543701172,0.0034890174865722656,0.003269672393798828,0.006704568862915039,0.004138946533203125,0.0042951107025146484,benchmark://mm128_128_128-v0/120,,"['down', 'swap_down']","['swap_down', 'swap_down']","['swap_down', 'swap_down']","['down', 'swap_down']","['down', 'swap_down']","['swap_down', 'swap_up']","['down', 'swap_down']","['down', 'swap_down']","['swap_down', 'swap_down']",['down'],['swap_down']
0,benchmark://mm128_128_128-v0/201,2.841165065765381,20.499116897583008,22.435791015625,22.218889236450195,19.605140686035156,19.68260383605957,21.273712158203125,21.28666877746582,21.28083610534668,21.270153045654297,2.9952168464660645,2.9913930892944336,benchmark://mm128_128_128-v0/201,0.16739273071289062,0.3471395969390869,0.01433420181274414,0.004730224609375,0.798166036605835,0.007917404174804688,0.014854669570922852,0.00330352783203125,0.0031194686889648438,0.006437540054321289,0.004269123077392578,0.0039632320404052734,benchmark://mm128_128_128-v0/201,,"['swap_down', 'swap_down']","['swap_down', 'swap_down']","['swap_down', 'swap_down']","['swap_down', 'swap_down']","['swap_down', 'swap_down']","['swap_down', 'swap_down']","['swap_down', 'swap_down']","['swap_down', 'swap_down']","['swap_down', 'swap_down']",['swap_down'],['swap_down']
0,benchmark://mm128_128_128-v0/210,0.5845580697059631,17.217573165893555,2.7551636695861816,2.7551636695861816,16.83330535888672,16.82486343383789,16.82486343383789,16.828845977783203,16.834857940673828,16.834857940673828,0.5814947485923767,0.5814947485923767,benchmark://mm128_128_128-v0/210,0.7824256420135498,1.6248328685760498,0.0160675048828125,0.0049304962158203125,0.17529797554016113,0.0076141357421875,0.014560461044311523,0.003053903579711914,0.003292560577392578,0.007033109664916992,0.004019975662231445,0.0046460628509521484,benchmark://mm128_128_128-v0/210,,"['swap_down', 'swap_down']","['down', 'swap_down']","['down', 'up']","['swap_down', 'swap_down']","['swap_down', 'swap_down']","['down', 'up']","['swap_down', 'swap_down']","['swap_down', 'swap_down']","['down', 'up']",['swap_down'],['down']
