,benchmark,base,greedy1_ln,greedy2_ln,benchmark,base,greedy1_ln,greedy2_ln,benchmark,base,greedy1_ln,greedy2_ln
0,benchmark://mm64_256_16_range-v0/mm64_80_240,48.039405822753906,,,benchmark://mm64_256_16_range-v0/mm64_80_240,0.7248351573944092,3.2013936042785645,3.2013871669769287,benchmark://mm64_256_16_range-v0/mm64_80_240,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_80_256,49.642845153808594,49.61277770996094,,benchmark://mm64_256_16_range-v0/mm64_80_256,0.579890251159668,2.8955349922180176,3.2013795375823975,benchmark://mm64_256_16_range-v0/mm64_80_256,,"['split_16', 'split_4', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_96_64,34.722591400146484,,,benchmark://mm64_256_16_range-v0/mm64_96_64,0.5366184711456299,3.2014102935791016,3.040816068649292,benchmark://mm64_256_16_range-v0/mm64_96_64,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_96_80,86.4591064453125,,,benchmark://mm64_256_16_range-v0/mm64_96_80,0.5063378810882568,3.201390266418457,3.1331608295440674,benchmark://mm64_256_16_range-v0/mm64_96_80,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_96_96,48.9013786315918,,,benchmark://mm64_256_16_range-v0/mm64_96_96,0.4797360897064209,3.2013940811157227,3.2013819217681885,benchmark://mm64_256_16_range-v0/mm64_96_96,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_96_112,48.857112884521484,,,benchmark://mm64_256_16_range-v0/mm64_96_112,0.5175776481628418,3.2013890743255615,3.0392396450042725,benchmark://mm64_256_16_range-v0/mm64_96_112,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_96_128,49.61872482299805,,,benchmark://mm64_256_16_range-v0/mm64_96_128,0.7450907230377197,3.2003841400146484,3.2014033794403076,benchmark://mm64_256_16_range-v0/mm64_96_128,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_96_144,31.899045944213867,,,benchmark://mm64_256_16_range-v0/mm64_96_144,0.6863012313842773,3.201427698135376,3.201418161392212,benchmark://mm64_256_16_range-v0/mm64_96_144,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_96_160,49.69994354248047,,,benchmark://mm64_256_16_range-v0/mm64_96_160,0.6441521644592285,3.201403856277466,3.2014009952545166,benchmark://mm64_256_16_range-v0/mm64_96_160,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_96_176,43.92047119140625,,,benchmark://mm64_256_16_range-v0/mm64_96_176,0.9993700981140137,3.201385736465454,3.201378345489502,benchmark://mm64_256_16_range-v0/mm64_96_176,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_96_192,49.7531852722168,,,benchmark://mm64_256_16_range-v0/mm64_96_192,1.308992862701416,3.2014079093933105,3.201404094696045,benchmark://mm64_256_16_range-v0/mm64_96_192,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_96_208,46.004249572753906,,,benchmark://mm64_256_16_range-v0/mm64_96_208,1.1818876266479492,3.201390027999878,3.2013449668884277,benchmark://mm64_256_16_range-v0/mm64_96_208,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_96_224,46.9695930480957,,,benchmark://mm64_256_16_range-v0/mm64_96_224,1.236703634262085,3.2014198303222656,3.2013795375823975,benchmark://mm64_256_16_range-v0/mm64_96_224,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_96_240,46.140560150146484,48.8515625,,benchmark://mm64_256_16_range-v0/mm64_96_240,0.15076756477355957,1.1063110828399658,3.20139217376709,benchmark://mm64_256_16_range-v0/mm64_96_240,,"['down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_96_256,49.93932342529297,48.25698471069336,,benchmark://mm64_256_16_range-v0/mm64_96_256,0.3441901206970215,2.962362766265869,3.051238536834717,benchmark://mm64_256_16_range-v0/mm64_96_256,,"['split_16', 'swap_down', 'split_8', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_112_64,95.07813262939453,94.9797134399414,,benchmark://mm64_256_16_range-v0/mm64_112_64,0.6718235015869141,2.5810060501098633,3.2013814449310303,benchmark://mm64_256_16_range-v0/mm64_112_64,,"['split_16', 'split_4', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_112_80,32.0330696105957,,,benchmark://mm64_256_16_range-v0/mm64_112_80,0.3669435977935791,3.201396942138672,3.201343059539795,benchmark://mm64_256_16_range-v0/mm64_112_80,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_112_96,48.801673889160156,,,benchmark://mm64_256_16_range-v0/mm64_112_96,0.3964650630950928,3.201399803161621,3.2014002799987793,benchmark://mm64_256_16_range-v0/mm64_112_96,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_112_112,31.87169075012207,,,benchmark://mm64_256_16_range-v0/mm64_112_112,0.5162725448608398,3.1518051624298096,3.201338291168213,benchmark://mm64_256_16_range-v0/mm64_112_112,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_112_128,49.66729736328125,,,benchmark://mm64_256_16_range-v0/mm64_112_128,0.8503150939941406,3.2014095783233643,3.201345920562744,benchmark://mm64_256_16_range-v0/mm64_112_128,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_112_144,46.875205993652344,,,benchmark://mm64_256_16_range-v0/mm64_112_144,1.2245914936065674,3.2013673782348633,3.136662721633911,benchmark://mm64_256_16_range-v0/mm64_112_144,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_112_160,46.72370147705078,,,benchmark://mm64_256_16_range-v0/mm64_112_160,0.686948299407959,3.2014074325561523,3.20137095451355,benchmark://mm64_256_16_range-v0/mm64_112_160,,failed,failed
